,A middle-aged man on roller skates
,The Blood of Christ
,Half-assed foreplay
,Free samples
,Douchebags on their iPhones
,Hurricane Katrina
,Wearing underwear inside-out to avoid doing laundry
,Republicans
,The glass ceiling
,A foul mouth
,Jerking off into a pool of children's tears
,Getting really high
,The deformed
,Michelle Obama's arms
,Explosions
,The Übermensch
,Donald Trump
,Sarah Palin
,Attitude
,This answer is postmodern
,Crumpets with the Queen
,Frolocking
,Team-building exercises
,Repression
,Road head
,A bag of magic beans
,An asymmetric boob job
,Dead parents
,Public ridicule
,A mating display
,A mime having a stroke
,Stephen Hawking talking dirty
,African Children
,Mouth herpes
,Overcompensation
,Bill Nye the Science Guy
,Bitches
,Italians
,Have some more kugel
,A windmill full of corpses
,Her Royal Highness, Queen Elizabeth II
,Crippling debt
,Adderall
,A stray pube
,Shorties and blunts
,Passing a kidney stone
,Prancing
,Leprosy
,A brain tumor
,Bees ?
,Puppies !
,Cockfights
,Kim Jong-Il
,Hope
,9oz. of sweet Mexican black-tar heroin
,Incest
,Grave robbing
,Asians who aren't good at math
,Alcoholism
,(I am doing Kegels right now.)
,Justin Bieber
,The Jews
,Bestiality
,Winking at old people
,Drum circles
,Kids with ass cancer
,Loose lips
,Auschwitz
,Civilian casualties
,Inappropriate yodeling
,Tangled Slinkys
,Being on fire
,The Thong Song
,A vajazzled vagina
,Riding off into the sunset
,Exchanging pleasantries
,My relationship status
,Shaquille O'Neal's acting career
,Being fabulous
,Lactation
,Not reciprocating oral sex
,Sobbing into a Hungry-Man Frozen Dinner
,My genitals
,Date rape
,Ring Pops
,GoGurt
,Judge Judy
,Lumberjack fantasies
,The gays
,Scientology
,Estrogen
,Police brutality
,Passable transvestites
,The Virginia Tech Massacre
,Tiger Woods
,Dick Fingers
,Racism
,Glenn Beck being harried by a swarm of buzzards
,Surprise sex !
,Classist undertones
,Booby-trapping the house to foil burglars
,New Age music
,PCP
,A lifetime of sadness
,Doin't it in the butt
,Swooping
,The Hamburglar
,Tentacle porn
,A hot mess
,Too much hair gel
,A look-see
,Not giving a shit about the Third World
,American Gladiators
,The Kool-Aid Man
,Mr. Snuffleupagus
,Barack Obama
,Golden showers
,Wiping her butt
,Queefing
,Getting drunk on mouthwash
,A M. Night Shyamalan plot twist
,A robust mongoloid
,Nazis
,White privilege
,An erection that lasts longer than four hours
,A disappointing birthday party
,Puberty
,Two midgets shitting into a bucket
,Wifely duties
,The forbidden fruit
,Getting so angry that you pop a boner
,Sexual tension
,Third base
,A gassy antelope
,Those times when you get sand in your vagina
,A Super Soaker full of cat pee
,Muhammad (Praise Be Unto Him)
,Racially-biased SAT questions
,Porn stars
,A fetus
,Obesity
,When you fart and a little bit comes out
,Oompa-Loompas
,BATMAN!!!
,Black people
,Tasteful sideboob
,Hot people
,Grandma
,Cooping a feel
,The Trail of Tears
,Famine
,Finger painting
,The miracle of childbirth
,Goats eating cans
,A monkey smoking a cigar
,Faith healing
,Parting the Red Sea
,Dead babies
,The Amish
,Impotence
,Child beauty pageants
,Centaurs
,AXE Body Spray
,Kanye West
,Women's suffrage
,Children on leashes
,Harry Potter erotica
,The Dance of the Sugar Plum Fairy
,Lance Armstrong's missing testicle
,Dwarf tossing
,Mathletes
,Lunchables
,Women in yogurt commercials
,John Wilkes Booth
,Powerful thighs
,Mr Clean, right behind you
,Multiple stab wounds
,Cybernetic enhancements
,Serfdom
,Another goddamn vampire movie
,Glenn Beck catching his scrotum on a curtain hook
,A big hoopla about nothing
,Peeing a little bit
,The Hustle
,Ghosts
,Bananas in Pajamas
,Active listening
,Dry heaving
,Kamikaze pilots
,The Force
,Anal beads
,The Make-A-Wish Foundation
